Date,gross_ret,turnover,costs,net_ret,cum_gross,cum_net
2021-04-27,-0.006677601787200015,0.19999999999999998,9.999999999999999e-05,-0.0067776017872000155,1.019004643090279,1.0166093918633061
2021-04-28,-0.003652244962099538,0.2,0.0001,-0.0037522449620995377,1.0152829885161967,1.012794824394264
2021-04-29,0.004147989108097483,0.2,0.0001,0.0040479891080974825,1.0194943712941986,1.0168946068121496
2021-04-30,-0.0028452976240058267,0.0,0.0,-0.0028452976240058267,1.016593606381868,1.0140012390035227
2021-05-03,0.0057677611356633076,0.0,0.0,0.0057677611356633076,1.022457075475521,1.0198497559413615
2021-05-04,-0.0007282564506495116,0.19999999999999998,9.999999999999999e-05,-0.0008282564506495115,1.0217124645147935,1.0190050588023096
2021-05-05,4.2416405609646546e-05,0.0,0.0,4.2416405609646546e-05,1.0217558018851047,1.019048281334202
2021-05-06,0.0005604489950440607,0.0,0.0,0.0005604489950440607,1.0223284438974518,1.0196194059193773
2021-05-07,0.0004890394029725912,0.0,0.0,0.0004890394029725912,1.0228284027892973,1.0201180399849075
2021-05-10,0.00035668628951032174,0.0,0.0,0.00035668628951032174,1.023193231657094,1.0204819021034524
2021-05-11,-0.0013272771455418494,0.19999999999999998,9.999999999999999e-05,-0.0014272771455418494,1.0218351706652424,1.019025391607141
2021-05-12,-0.00031731222374626906,0.0,0.0,-0.00031731222374626906,1.0215109298749365,1.0187020423940762
2021-05-13,0.0006111757601968693,0.2,0.0001,0.0005111757601968692,1.0221352525940521,1.019222778185011
2021-05-14,-0.0013549620422277364,0.0,0.0,-0.0013549620422277364,1.0207502981247643,1.0178417700079962
2021-05-17,0.0013403592430337175,0.0,0.0,0.0013403592430337175,1.0221184702216852,1.0192060436323722
2021-05-18,0.001877697209754392,0.0,0.0,0.001877697209754392,1.0240376992212588,1.0211198039766654
2021-05-19,-0.003595864401980564,0.0,0.0,-0.003595864401980564,1.020355398512343,1.0174479956233884
2021-05-20,0.004726149516149913,0.0,0.0,0.004726149516149913,1.025177750685323,1.0222566069756116
2021-05-21,0.004783928921720526,0.0,0.0,0.004783928921720526,1.030082128176731,1.0271470099231423
2021-05-24,0.002660893047440882,0.0,0.0,0.002660893047440882,1.0328230665498896,1.0298801382605467
2021-05-25,-0.00025981464863855663,0.0,0.0,-0.00025981464863855663,1.0325547239877482,1.0296125603142847
2021-05-26,0.0018542703111079084,0.0,0.0,0.0018542703111079084,1.034469359557033,1.0315217403168193
2021-05-27,0.003416103345171728,0.0,0.0,0.003416103345171728,1.0380032137966932,1.0350455251845327
2021-05-28,-0.003241835404567961,0.0,0.0,-0.003241835404567961,1.0346381782281517,1.03169007795565
2021-06-01,-0.003340046096726501,0.0,0.0,-0.003340046096726501,1.0311824390194366,1.0282441855377427
2021-06-02,0.0028622755776126496,0.0,0.0,0.0028622755776126496,1.034133967330705,1.0311873037578296
2021-06-03,0.0008262431971646222,0.0,0.0,0.0008262431971646222,1.0349884134861689,1.032039315252562
2021-06-04,0.005981363077144808,0.0,0.0,0.005981363077144808,1.0411790549678677,1.0382123171069755
2021-06-07,-0.00577873437263815,0.0,0.0,-0.00577873437263815,1.035162357774854,1.032212763904013
2021-06-08,0.0002883313430678048,0.2,0.0001,0.00018833134306780482,1.0354608275277644,1.0324071619201707
2021-06-09,0.006725012954088528,0.0,0.0,0.006725012954088528,1.04242431500634,1.0393501134579777
2021-06-10,-0.00219175059674106,0.0,0.0,-0.00219175059674106,1.0401395808918674,1.0370721172265833
2021-06-11,-0.005046870927405411,0.0,0.0,-0.005046870927405411,1.0348901306806206,1.0318381481085297
2021-06-14,0.00016521689976992668,0.0,0.0,0.00016521689976992668,1.035061112019614,1.0320086252084244
2021-06-15,-0.0038635192106123983,0.2,0.0001,-0.003963519210612399,1.0310621335291683,1.027918239196893
2021-06-16,0.0005378425072533055,0.0,0.0,0.0005378425072533055,1.0316166825721995,1.028471097319914
2021-06-17,0.002228635063141471,0.0,0.0,0.002228635063141471,1.0339157796827017,1.030763184068829
2021-06-18,-0.0005306926385895585,0.2,0.0001,-0.0006306926385895586,1.0333670881895025,1.0301130893165076
2021-06-21,-0.00017322592196211684,0.19999999999999998,9.999999999999999e-05,-0.0002732259219621168,1.0331880822229256,1.0298316357179538
2021-06-22,-0.00011855618641752887,0.2,0.0001,-0.0002185561864175289,1.0330655913840452,1.029606559642999
2021-06-23,-0.0007522422656823902,0.0,0.0,-0.0007522422656823902,1.032288475782984,1.028832046071812
