Date,equity,benchmark_equity,portfolio_returns
2015-01-02,,1.0,
2015-01-05,1.0,0.9819401390177861,-0.0
2015-01-06,1.0,0.9726910227203498,-0.0
2015-01-07,1.0,0.9848119222137188,0.0
2015-01-08,1.0,1.0022874655868501,0.0
2015-01-09,1.0,0.994255811047516,-0.0
2015-01-12,1.0,0.9864671330238614,-0.0
2015-01-13,1.0,0.9836924692844153,-0.0
2015-01-14,1.0,0.9777537746072642,-0.0
2015-01-15,1.0,0.9687969949888315,-0.0
2015-01-16,1.0,0.9815019452795894,0.0
2015-01-20,1.0,0.9835953498279284,0.0
2015-01-21,1.0,0.9885606265094313,0.0
2015-01-22,1.0,1.0032613282686542,0.0
2015-01-23,1.0,0.9977605605180058,-0.0
2015-01-26,1.0,1.0000972083937179,0.0
2015-01-27,1.0,0.9869053267620576,-0.0
2015-01-28,1.0,0.9742489361995429,-0.0
2015-01-29,1.0,0.98325436448345,0.0
2015-01-30,1.0,0.9708899548510144,-0.0
2015-02-02,1.0,0.9829136459506655,0.0
2015-02-03,1.0,0.997127772117911,0.0
2015-02-04,1.0,0.993330952780111,-0.0
2015-02-05,1.0,1.0033583587879098,0.0
2015-02-06,1.0,1.0005836061112328,-0.0
2015-02-09,1.0,0.9961057054567881,-0.0
2015-02-10,1.0,1.006717606948132,0.0
2015-02-11,1.0,1.0073016577455212,0.0
2015-02-12,1.0,1.0169887009694603,0.0
2015-02-13,1.0,1.021175065379982,0.0
2015-02-17,1.0,1.0227815385874188,0.0
2015-02-18,1.0,1.0228785691066744,0.0
2015-02-19,1.0,1.022148305501168,-0.0
2015-02-20,1.0,1.0282819505891425,0.0
2015-02-23,1.0,1.0281358267182563,-0.0
2015-02-24,1.0,1.0310564364541261,0.0
2015-02-25,1.0,1.0301803157894271,-0.0
2015-02-26,1.0,1.0289632987174808,-0.0
2015-02-27,1.0,1.0254586381842221,-0.0
2015-03-02,1.0,1.0319327349932876,0.0
2015-03-03,1.0,1.0276978108545225,-0.0
