ticker,entry_date,exit_date,entry_px,exit_px,ret,hold_days
SPY,2015-03-17,2015-04-07,173.6810302734375,173.8858642578125,0.0011793687776524564,21
SPY,2015-04-10,2015-06-12,176.20118713378906,176.17604064941406,-0.00014271461381187844,63
SPY,2015-06-22,2015-06-29,178.61776733398438,173.1637420654297,-0.030534617860028423,7
SPY,2015-07-22,2015-07-27,178.17945861816406,174.318603515625,-0.021668351293023136,5
SPY,2015-08-10,2015-08-14,177.5050048828125,176.53555297851562,-0.005461546872646772,4
SPY,2015-10-14,2015-11-02,168.86968994140625,178.27532958984375,0.055697618984798414,19
SPY,2016-03-01,2016-04-13,168.86886596679688,178.21353149414062,0.055336816966492286,43
SPY,2016-05-27,2016-06-24,180.13278198242188,175.04078674316406,-0.0282680097604594,28
SPY,2016-07-07,2016-09-14,180.45802307128906,183.57579040527344,0.017276967135746224,69
SPY,2016-11-16,2017-01-24,188.58872985839844,198.17225646972656,0.050817069601793774,69
SPY,2017-04-27,2017-08-23,208.65377807617188,214.90867614746094,0.029977401458820552,118
SPY,2017-09-01,2017-11-08,217.79104614257812,228.8245849609375,0.050661122271923986,68
SPY,2018-03-15,2018-03-22,244.0986785888672,234.97921752929688,-0.03735973136884585,7
SPY,2018-05-14,2018-08-07,243.27610778808594,255.64784240722656,0.050854704687718355,85
SPY,2019-01-23,2019-02-15,238.25218200683594,250.87896728515625,0.05299756405990874,23
SPY,2019-06-18,2019-08-05,265.63836669921875,259.0977783203125,-0.024622152515762608,48
SPY,2019-09-11,2019-10-02,274.0965881347656,264.18280029296875,-0.03616895748050153,21
SPY,2019-10-15,2019-11-26,274.1059875488281,288.04595947265625,0.05085613797963795,42
SPY,2020-04-24,2020-05-26,262.3241271972656,277.25872802734375,0.05693186131844974,32
SPY,2020-10-09,2020-10-26,324.2511901855469,317.2771301269531,-0.0215082018807794,17
SPY,2020-11-10,2020-12-17,330.97265625,347.9867858886719,0.05140645100850949,37
SPY,2021-10-21,2021-12-27,430.0097351074219,454.038818359375,0.05588032383952979,67
SPY,2022-03-25,2022-04-11,432.0021667480469,419.8158264160156,-0.02820897965342517,17
SPY,2022-07-27,2022-08-12,384.3658142089844,409.34228515625,0.06498098952599785,16
SPY,2022-11-03,2022-11-10,357.0450134277344,379.83367919921875,0.06382575001596202,7
SPY,2023-01-18,2023-02-02,378.48419189453125,402.9340515136719,0.06459942090779269,15
SPY,2023-04-04,2023-06-08,396.6013488769531,416.4571533203125,0.05006489387790691,65
SPY,2023-09-08,2023-09-15,433.9691162109375,433.3982849121094,-0.0013153730933946894,7
SPY,2023-11-13,2023-12-12,430.289794921875,453.66204833984375,0.054317470908675114,29
SPY,2024-05-13,2024-06-17,512.8472900390625,538.6318359375,0.0502772392469375,35
SPY,2024-08-21,2024-09-06,553.7232666015625,533.7125244140625,-0.036138525134250754,16
SPY,2025-01-03,2025-01-08,588.43505859375,585.9896850585938,-0.0041557237276110826,5
SPY,2025-01-27,2025-02-27,595.81103515625,581.5759887695312,-0.023891881060889797,31
SPY,2025-05-07,2025-05-15,559.4959716796875,588.7196044921875,0.052232070098318095,8
